Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
12067,"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch",Terry Pratchett,"Pratchett, Terry",Neil Gaiman,"=""""","=""""",4,4.25,William Morrow,Mass Market Paperback,491,2006,1990,,2021/08/22,favorites,favorites (#14),read,,,,1,,,0,,,,,
40961427,1984,George Orwell,"Orwell, George",,"=""""","=""""",5,4.19,Houghton Mifflin Harcourt,Kindle Edition,298,2013,1949,2021/09/17,2021/08/24,favorites,favorites (#17),read,,,,2,,,0,,,,,
18007564,The Martian,Andy Weir,"Weir, Andy",,"=""0804139024""","=""9780804139021""",5,4.41,Crown,Hardcover,384,2014,2011,,2021/08/26,favorites,favorites (#18),read,,,,1,,,0,,,,,
27833670,Dark Matter,Blake Crouch,"Crouch, Blake","Hilary Clarcq, Andy Weir","=""1101904224""","=""9781101904220""",5,4.12,Crown,Hardcover,340,2016,2016,2021/08/23,2021/08/23,favorites,favorites (#15),read,,,,1,,,0,,,,,
54493401,Project Hail Mary,Andy Weir,"Weir, Andy",,"=""0593135202""","=""9780593135204""",5,4.52,Ballantine Books,Hardcover,476,2021,2021,,2021/08/09,favorites,favorites (#13),read,,,,1,,,0,,,,,
38357895,Convenience Store Woman,Sayaka Murata,"Murata, Sayaka",Ginny Tapley Takemori,"=""""","=""""",4,3.72,Portobello Books,Paperback,163,2018,2016,2021/09/25,2021/09/23,favorites,favorites (#10),read,,,,1,,,0,,,,,
56614951,Falling,T.J. Newman,"Newman, T.J.",,"=""1982177888""","=""9781982177881""",5,3.89,Avid Reader Press / Simon & Schuster ,Hardcover,304,2021,2021,2021/09/07,2021/09/02,favorites,favorites (#7),read,,,,1,,,0,,,,,
72193,Harry Potter and the Philosopher's Stone,J.K. Rowling,"Rowling, J.K.",,"=""""","=""""",4,4.48,Bloomsbury Publishing,Paperback,223,1997,1997,2021/08/31,2021/09/07,favorites,favorites (#8),read,,,,1,,,0,,,,,
40597810,Daisy Jones & The Six,Taylor Jenkins Reid,"Reid, Taylor Jenkins",,"=""1524798622""","=""9781524798628""",4,4.24,Ballantine Books,Hardcover,355,2019,2019,,2021/10/03,favorites,favorites (#11),read,,,,1,,,0,,,,,
37004370,The Memory Police,Yōko Ogawa,"Ogawa, Yōko",Stephen    Snyder,"=""1101870605""","=""9781101870600""",4,3.75,Pantheon Books,Hardcover,274,2019,1994,2021/09/23,2021/09/20,favorites,favorites (#9),read,,,,1,,,0,,,,,
48637765,Miss Iceland,Auður Ava Ólafsdóttir,"Ólafsdóttir, Auður Ava",Brian FitzGibbon,"=""0802149235""","=""9780802149237""",5,3.90,Black Cat/Grove Press (New York),Paperback,256,2020,2018,2022/02/19,2022/02/18,favorites,favorites (#6),read,,,,1,,,0,,,,,
32620332,The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,"Reid, Taylor Jenkins",,"=""1501139231""","=""9781501139239""",4,4.48,Atria Books,Hardcover,389,2017,2017,2021/10/15,2021/10/14,favorites,favorites (#3),read,,,,1,,,0,,,,,
50997696,Outlawed,Anna North,"North, Anna",,"=""""","=""""",5,3.56,Bloomsbury Publishing,Hardcover,261,2021,2021,2022/02/18,2022/02/16,favorites,favorites (#5),read,,,,1,,,0,,,,,
24611623,In Order to Live: A North Korean Girl's Journey to Freedom,Yeonmi Park,"Park, Yeonmi",Maryanne Vollers,"=""1594206791""","=""9781594206795""",4,4.46,Penguin Press,Hardcover,273,2015,2015,,2022/02/01,favorites,favorites (#4),read,,,,1,,,0,,,,,
54120408,Klara and the Sun,Kazuo Ishiguro,"Ishiguro, Kazuo",,"=""059331817X""","=""9780593318171""",5,3.79,Alfred A. Knopf,Hardcover,303,2021,2021,2021/10/09,2021/10/07,favorites,favorites (#1),read,,,,1,,,0,,,,,
9361589,The Night Circus,Erin Morgenstern,"Morgenstern, Erin",,"=""0385534635""","=""9780385534635""",4,4.03,Doubleday,Hardcover,387,2011,2011,2021/10/11,2021/10/09,favorites,favorites (#2),read,,,,1,,,0,,,,,
40097951,The Silent Patient,Alex Michaelides,"Michaelides, Alex",,"=""1250301696""","=""9781250301697""",3,4.15,Celadon Books,Hardcover,325,2019,2019,2022/02/22,2022/02/21,,,read,,,,1,,,0,,,,,
44421460,"Before the Coffee Gets Cold (Before the Coffee Gets Cold, #1)",Toshikazu Kawaguchi,"Kawaguchi, Toshikazu",Geoffrey Trousselot,"=""1529029589""","=""9781529029581""",4,3.75,Picador,Paperback,213,2019,2015,2022/02/21,2022/02/19,,,read,,,,1,,,0,,,,,
46041199,"Kim Jiyoung, Born 1982",Cho Nam-Joo,"Nam-Joo, Cho",Jamie Chang,"=""1631496700""","=""9781631496707""",4,4.18,Liveright,Hardcover,163,2020,2016,2022/02/19,2022/02/19,,,read,,,,1,,,0,,,,,
56089437,Mrs England,Stacey Halls,"Halls, Stacey",,"=""1838772863""","=""9781838772864""",4,4.01,Bonnier Zaffre,Hardcover,424,2021,2021,2022/02/16,2022/02/15,,,read,"A beautiful, atmospheric, slow-burn. I love how sensitively Stacey Halls approaches trauma and abuse in this novel. Stunning!",,,1,,,0,,,,,
42283960,Escape from Earth: A Secret History of the Space Rocket,Fraser MacDonald,"MacDonald, Fraser",,"=""1610398718""","=""9781610398718""",3,3.79,PublicAffairs,Hardcover,384,2019,2019,2022/02/15,2022/02/15,,,read,,,,1,,,0,,,,,
48691825,Skin of the Sea (Skin of the Sea #1),Natasha Bowen,"Bowen, Natasha",,"=""""","=""""",5,3.84,Random House Books for Young Readers,Kindle Edition,336,2021,2021,2022/02/09,2022/02/14,,,read,,,,1,,,0,,,,,
56075757,Speak Your Truth: Connecting With Your Inner Truth and Learning to Find Your Voice,Fearne Cotton,"Cotton, Fearne",,"=""""","=""""",2,3.87,Orion Spring,Kindle Edition,181,2021,,2022/02/01,2022/02/01,,,read,,,,1,,,0,,,,,
50202953,Piranesi,Susanna Clarke,"Clarke, Susanna",,"=""163557563X""","=""9781635575637""",3,4.27,Bloomsbury,Hardcover,245,2020,2020,2022/01/01,2022/02/01,,,read,,,,1,,,0,,,,,
42603984,Ace of Spades,Faridah Àbíké-Íyímídé,"Àbíké-Íyímídé, Faridah",,"=""1474967531""","=""9781474967532""",4,4.28,Usborne ,Paperback,470,2021,2021,2022/01/01,2022/02/01,,,read,,,,1,,,0,,,,,
56808509,The Lighthouse Witches,C.J.  Cooke,"Cooke, C.J.",,"=""059333423X""","=""9780593334232""",3,4.00,Berkley Books,Paperback,350,2021,2021,,2022/02/01,,,read,,,,1,,,0,,,,,
34097209,Norse Mythology,Neil Gaiman,"Gaiman, Neil",,"=""""","=""""",3,4.09,HarperAudio,Audible Audio,301,2017,2017,2021/10/17,2021/10/11,,,read,,,,1,,,0,,,,,
16349,"Hercule Poirot's Christmas (Hercule Poirot, #20)",Agatha Christie,"Christie, Agatha",,"=""0007120699""","=""9780007120697""",4,3.98,HarperCollins Publishers,Paperback,335,2001,1938,,2022/02/01,,,read,,,,1,,,0,,,,,
45300567,The Maidens,Alex Michaelides,"Michaelides, Alex",,"=""1250304458""","=""9781250304452""",4,3.63,Celadon Books,Hardcover,337,2021,2021,2021/10/13,2021/10/11,,,read,,,,1,,,0,,,,,
136251,"Harry Potter and the Deathly Hallows (Harry Potter, #7)",J.K. Rowling,"Rowling, J.K.",,"=""""","=""""",3,4.62,Arthur A. Levine Books,Hardcover,759,2007,2007,2021/10/09,2021/09/28,,,read,,,,1,,,0,,,,,
52578297,The Midnight Library,Matt Haig,"Haig, Matt",,"=""""","=""""",1,4.05,Viking,Hardcover,288,2020,2020,2021/10/07,2021/10/06,,,read,"TW: suicide.<br/><br/>This will ruffle feathers, but that isn't my intention at all. Many adore this book, say it's life-changing. I can't say the same. <br/><br/>Suicide is a recurring theme in my life, even now. I've got no qualms with admitting it. ""Trivial"" things happen, and I always arrive at the same solution. So I understand the protagonist, Nora. When her cat dies, it's the last straw. But that's the only thing I liked about this book.<br/><br/>From the exposition-laden dialogue to the constant platitudes about living and learning. The writing isn't particularly elegant. Insta-ready mantras clog every page.<br/><br/>Maybe it's me. Maybe I'm cynical about self-kindness. Maybe this book came to me at the wrong time, when ""the life you want to live is the one you choose"" wasn't what I needed to hear. <br/><br/>I'm pained to say I disliked this book, especially when Matt Haig is so open about mental health on his social media. I know it comes from a good place. <br/><br/>It's helped a lot of people, but The Midnight Library by Matt Haig wasn't for me.",,,1,,,0,,,,,
50056075,"The Heart Principle (The Kiss Quotient, #3)",Helen Hoang,"Hoang, Helen",,"=""0451490843""","=""9780451490841""",3,4.04,Berkley,Paperback,339,2021,2021,2021/10/06,2021/10/03,,,read,,,,1,,,0,,,,,
50623864,The Invisible Life of Addie LaRue,V.E. Schwab,"Schwab, V.E.",,"=""0765387565""","=""9780765387561""",4,4.23,Tor Books,Hardcover,444,2020,2020,2021/09/29,2021/09/26,,,read,,,,1,,,0,,,,,
1,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",J.K. Rowling,"Rowling, J.K.",,"=""""","=""""",5,4.57,Scholastic Inc.,Paperback,652,2006,2005,2021/09/27,2021/09/23,,,read,,,,1,,,0,,,,,
50269327,Earthlings,Sayaka Murata,"Murata, Sayaka",Ginny Tapley Takemori,"=""1783785675""","=""9781783785674""",4,3.57,Granta Books,Hardcover,247,2020,2018,2021/09/26,2021/09/26,,,read,,,,1,,,0,,,,,
2,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",J.K. Rowling,"Rowling, J.K.",Mary GrandPré,"=""""","=""""",3,4.50,Scholastic Inc.,Paperback,870,2004,2003,2021/09/20,2021/09/14,,,read,,,,1,,,0,,,,,
6,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",J.K. Rowling,"Rowling, J.K.",Mary GrandPré,"=""""","=""""",4,4.57,Scholastic,Paperback,734,2002,2000,2021/09/14,2021/09/09,,,read,,,,1,,,0,,,,,
15881,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",J.K. Rowling,"Rowling, J.K.",Mary GrandPré,"=""""","=""""",3,4.43,Arthur A. Levine Books,Hardcover,341,1999,1998,2021/09/05,2021/09/07,,,read,,,,1,,,0,,,,,
386162,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",Douglas Adams,"Adams, Douglas",,"=""""","=""""",4,4.22,Del Rey,Paperback,193,2007,1979,2021/09/13,2021/08/26,,,read,,,,1,,,0,,,,,
56047610,Silicon Values: The Future of Free Speech Under Surveillance Capitalism,Jillian York,"York, Jillian",,"=""""","=""""",2,3.64,,Kindle Edition,288,2021,2021,2021/09/11,2021/08/26,,,read,,,,1,,,0,,,,,
30165203,"American Gods (American Gods, #1)",Neil Gaiman,"Gaiman, Neil",,"=""""","=""""",2,4.11,William Morrow,Kindle Edition,635,2011,2001,2021/09/09,2021/08/26,,,read,,,,1,,,0,,,,,
5,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",J.K. Rowling,"Rowling, J.K.",Mary GrandPré,"=""043965548X""","=""9780439655484""",3,4.58,Scholastic Inc.,Mass Market Paperback,435,2004,1999,2021/09/08,2021/09/07,,,read,,,,1,,,0,,,,,
10108463,The Devil All the Time,Donald Ray Pollock,"Pollock, Donald Ray",,"=""038553504X""","=""9780385535045""",3,4.12,Doubleday,Hardcover,261,2011,2011,2021/09/02,2021/08/26,,,read,,,,1,,,0,,,,,
